file,title,source,location,width,height
figure_3_1_1_simple_transformer.png,Figure 3.1.1 - Simple Transformer,page033_img001.png,"Chapter 3, page 26",613,351
figure_3_1_2_transformer_block_diagram.png,Figure 3.1.2 - Transformer Block Diagram,page033_img002.png,"Chapter 3, page 26",757,428
figure_3_1_3_transformer_construction_symbol.png,Figure 3.1.3 - Transformer Construction and Symbol,page034_img001.png,"Chapter 3, page 27",899,456
figure_3_1_4_unfiltered_bridge_rectifier.png,Figure 3.1.4 - Unfiltered Full-Wave Bridge Rectifier Circuit,page035_img002.png,"Chapter 3, page 28",779,305
figure_3_1_5a_filtered_full_wave_rectifier.png,Figure 3.1.5a - Filtered Full-Wave Rectifier Circuit,page036_img002.png,"Chapter 3, page 29",1195,390
figure_3_1_5b_rectifier_output_waveform.png,Figure 3.1.5b - Rectifier Output Waveform,page036_img003.png,"Chapter 3, page 29",672,485
figure_3_1_6_lm78xx_voltage_regulator.png,Figure 3.1.6 - LM78XX Voltage Regulator,page037_img002.png,"Chapter 3, page 30",415,250
figure_3_1_7_capacitors.png,Figure 3.1.7 - Capacitors,page038_img002.png,"Chapter 3, page 31",653,381
figure_3_1_8_led_diagram_and_types.png,Figure 3.1.8 - LED Block Diagram and Color Types,page039_img002.png,"Chapter 3, page 32",712,350
figure_3_2_1_8051_pin_diagram_proteus.png,Figure 3.2.1 - 8051 Microcontroller Pin Diagram on Proteus,page040_img001.png,"Chapter 3, page 33",571,704
figure_3_2_2_hc05_bluetooth_module_front_back.png,Figure 3.2.2 - HC-05 Bluetooth Module Front and Back View,page041_img001.png,"Chapter 3, page 34",577,511
figure_3_2_3_hc05_configuration_pins.png,Figure 3.2.3 - HC-05 Bluetooth Configuration Pins,page041_img002.png,"Chapter 3, page 34",630,370
figure_3_2_4_bluetooth_data_transfer_block_diagram.png,Figure 3.2.4 - Bluetooth Data Transfer Block Diagram,page042_img001.png,"Chapter 3, page 35",649,266
figure_3_2_5_bluetooth_app_interface.png,Figure 3.2.5 - Bluetooth App Interface,page042_img002.png,"Chapter 3, page 35",414,667
figure_3_2_6a_relay_module.png,Figure 3.2.6a - Relay Module,page043_img004.png,"Chapter 3, page 36",409,219
figure_3_2_6b_relay_component.png,Figure 3.2.6b - Relay Component,page043_img005.png,"Chapter 3, page 36",374,233
figure_3_2_7_uln2003a_darlington_ic.png,Figure 3.2.7 - Darlington IC ULN2003A,page045_img001.png,"Chapter 3, page 38",698,514
figure_3_2_8_lcd_display.png,Figure 3.2.8 - LCD Display,page045_img002.png,"Chapter 3, page 38",241,97
figure_3_3_1_switching_a_load.png,Figure 3.3.1 - Switching a Load,page051_img001.png,"Chapter 3, page 44",600,450
figure_3_3_2_simple_buzzer_circuit.png,Figure 3.3.2 - Internal Diagram of a Simple Buzzer,page052_img001.png,"Chapter 3, page 45",1280,720
figure_3_4_0_home_automation_block_diagram.png,Figure 3.4.0 - Home Automation System Block Diagram,page054_img001.png,"Chapter 3, page 47",996,496
figure_3_4_1_home_automation_operation.png,Figure 3.4.1 - Home Automation System Operation,page055_img003.png,"Chapter 3, page 48",629,378
figure_3_4_2_power_control_circuit.png,Figure 3.4.2 - Power Control Circuit,page056_img001.png,"Chapter 3, page 49",1299,684
figure_3_4_4_ac_voltage_input_wave.png,Figure 3.4.4 - A.C. Voltage Input Wave,page056_img002.png,"Chapter 3, page 49",1299,637
figure_4_4_5_dc_output_voltage.png,Figure 4.4.5 - DC Output Voltage,page057_img001.png,"Chapter 3, page 50",1299,731
figure_3_4_6_lcd_interface.png,Figure 3.4.6 - LCD Interface,page058_img010.png,"Chapter 3, page 51",1299,731
figure_3_4_6_bluetooth_interface.png,Figure 3.4.6 - Bluetooth Interface,page060_img006.png,"Chapter 3, page 53",1299,577
figure_3_4_7_load_interface.png,Figure 3.4.7 - Load Interface,page061_img001.png,"Chapter 3, page 54",1299,731
smart_home_concept_reference.png,Smart Home Concept Reference Image,page062_img001.png,"Chapter 3, page 55",966,639
home_automation_flowchart.png,Home Automation Flowchart,page063_img001.png,"Chapter 3, page 56",742,726
figure_3_4_8_home_automation_circuit_diagram.png,Figure 3.4.8 - Home Automation Circuit Diagram,page064_img001.png,"Chapter 3, page 57",1340,714
